uuid	text
6fd60334-2199-4aec-9f07-d37256e3179b	Describe different database views. (HL only)
7137f7f2-2413-415a-8fff-23f13a4a2906	Construct programs utilizing appropriate selection structures.
7283a3e6-9dfd-4d11-a3ca-32b647b9cc78	Describe the purpose program counter (PC).
77e0b7bc-a61d-4fe8-a04a-04b219f69ef5	Describe the use of the control system components. (HL only)
7d720bc3-5d1b-4707-9d99-16389745ba9d	Outline the different data types used in relational databases.
7ed2d070-9205-4c3e-a843-b21e8389e9d0	Use truth tables to determine if two boolean expressions are equivalent
825185bf-ee8d-42b2-b5b7-da304a9293cf	Discuss ethical aspects of the increasing integration of computer technologies into daily life.
82f870fd-0b5a-4625-b69b-3fc062e0561b	Describe the notional memory data register (MDR)
842dc386-fa69-42bf-9f44-a0752036dfa5	Describe the efficiency of specific algorithms by calculating their Big O notation to analyse their scalability.
855fbd89-20e1-4309-aca8-466fd58a9e19	Describe the purpose and characteristics of networks.
88a3fb5c-f71b-4f66-86a5-3d5f0e3a3448	Explain the role of composition and aggregation in class relationships.
8c69de83-18c5-47be-a93e-2e2f2a9704a9	Explain the importance of model selection and comparison in machine learning.
9328b158-6cdb-4ce9-b1e7-d2429c5196e8	Describe the features of distributed databases.
93b30bbe-7630-4f3d-b673-0f76b498644f	Build a Karnaugh map for a boolean expression
9609e02a-744a-4fff-a01c-999a835d34dd	Construct calculations within a database using SQL’s aggregate functions. (HL only)
9d456b4f-eb14-4743-839e-1366b5adc17d	Describe the process of pipelining in multi-core architectures. (HL only)
9d48c431-c2c5-4f74-802f-951094ec9a43	Outline the structure and function of ANNs and how multi-layer networks are used to model complex patterns in data sets.
9d81fbdc-eeb6-4c74-8731-50c77aa8070a	Describe the function of the TCP/IP model. (HL only)
9ea83a4c-9c41-4392-9c6e-9b13850f7e0d	Explain why modern CPUs don't have an accumulator (AC)
9f31caed-dae3-4523-b48c-d89f51ef232e	Describe the purpose of the Arithmetic Logic Unit (ALU).
a035da10-1cc7-4cf4-8810-603a19fd7b4f	Describe the importance of dimensionality reduction.
a1b01df0-a60f-449f-9668-46701b6b4a21	Construct and trace algorithms to implement bubble sort and selection sort, evaluating their time and space complexities.
a24453e6-e9d9-40d6-beae-ec55a89ac942	Describe database schemas.
a4c24455-f56d-4895-a31f-3dd01b4eee2c	Explain and apply the concept of inheritance in OOP to promote code reusability.
a5873b6d-6939-42b1-907b-b044bf3f67d7	Discuss the ethical implications of machine learning in real-world scenarios.
a61bae70-22a8-4ae8-85d1-87ec17b35b75	Construct and apply sets as an ADT.
a69123bf-f4d7-4aed-89fc-3b7121325aff	Describe the process of encryption and digital certificates.
a71a3ef8-d158-44bc-8d64-a1fc6f43253d	Describe common network vulnerabilities. (HL only)
a777cede-2f9a-4736-889a-1a1dec3a4c45	Explain and apply the concepts of encapsulation and information hiding in OOP.
a85d6d9a-1ac2-4387-9a5f-be55c7dd7036	Explain the differences between the CPU and the GPU. (HL only)
a90d8139-a4af-413c-b4db-89f5e941838c	Explain how classifications techniques in supervised learning are used to predict discrete categorical outcomes.
a9d8a813-d75d-4942-b9f1-6166b450b1ad	Describe why a pipelined CPU can get more done in the same amount fo time than a non-pipelined CPU.
aada5189-a865-4ea9-b7c4-ae92cc962bbf	Describe the network protocols used for transport and application.
ad2f0129-2e92-48c5-b936-b16982419cfe	Construct programs that apply arrays and Lists.
aed14460-0926-4fe3-bc25-0510a621f61c	Describe the functions of an operating system.
af4c4f8f-6c8e-4d75-8ecf-b2da95b8d25e	Explain the use of control systems in a range of real-world applications. (HL only)
b07a5af4-891d-4752-a119-e8383a752ac0	Explain the role of the operating system in managing multitasking and resource allocation. (HL only)
b0d1e704-3070-4a35-b91f-80d845bb7044	Explain the difference between normal forms.
b167bc42-faa7-4125-ad55-21ac667dd852	Explain how binary is used to store data.
b4b75b2e-7609-483c-b33f-bab39536da33	Describe the function of network devices.
b614b1d9-b023-4e9c-8862-b276e12a2ecb	Describe internal and external types of secondary memory storage.
b68d0ffb-c494-4feb-b47e-c4726ddd6b96	Construct programs that can extract and manipulate substrings.
b78793f0-dbf6-4997-8fbd-edb61ff48fb5	Construct a database normalized to 3NF for a range of real-world scenarios.
ba0eb237-28f8-4330-a895-eaa5a50f825c	Construct logic diagrams.
bb3a7410-c05c-4da9-ac54-5e2a9ceec403	Evaluate linked lists.
c00a95d2-63a7-4d4a-8d63-c3418fbc858a	Evaluate the need for denormalizing databases.
c8bf7a3e-3cf1-4a08-bdf4-a13ca5afaedc	Discuss the effectiveness of firewalls at protecting a network.
c95e7692-b998-4b17-8cac-ff7ad436ade8	Construct tables for relational databases.
cb08cea9-76fa-4953-b95f-22ffe03592cc	Describe how learning techniques using the association rule are used to uncover relations between different attributes in large data sets.
cc936bfd-5589-4ed0-836e-9df76df92bcf	Outline the different types of databases as approaches to storing data.
cda89372-ef30-4b17-a334-c4a44519df2b	Explain the concepts and applications of network segmentation.
cedafc04-766b-4ebd-9dc3-7e55362fe2d4	Construct queries between two tables in SQL.
d0e4063f-3b9b-43ed-baf8-1a1a083331ad	Describe the principal methods of representing data.
d47988b9-7f92-4828-b6bb-86974fb31ab7	Describe the purpose, benefits and limitations of modern digital infrastructures.
d53b05ab-7440-46e9-9442-5c9272af8431	Explain the purposes of different types of primary memory.
d64c1c5f-9bfe-49b1-ad95-69cfbc61a4ca	Describe the fetch, decode and execute cycle.
e2025696-48c1-4f36-afd0-c8614b649c35	Construct code to model polymorphism and its various forms, such as method overriding.
e39634dc-3372-4b58-b0fb-2a32ab1fb485	Construct programs that utilize looping structures to perform repeated actions.
e6e33345-e71b-44a9-a2a7-086c754acf6b	Explain the core principles of ADTs.
e6ead52f-7e30-4f8b-8dab-7eb240d2c57c	Describe the fundamental concepts of computational thinking.
e7b8752a-d071-4372-8458-f73482620af0	Simplify a boolean expression using a Karnaugh map
e872572b-d31d-4e84-9124-6885f4fc7672	Construct and apply linked lists: singly, doubly and circular.
ec5a79ed-67f6-40b4-ac74-2d804d7f4b65	Describe the functions and practical applications of network topologies.
eccdc2a8-4e1c-4c0a-a732-3c5be83895fa	Describe the types of machine learning and their applications in the real world.
edc38cd7-8283-448e-9242-0cc3680ef7df	Explain how static routing and dynamic routing move data across local area networks. (HL only)
eeb70d8b-c8b4-47eb-b9cc-9ff68f37f6a4	Describe the purpose of the Control Unit (CU) on the CPU.
f1033b19-5b5a-45c7-bf0e-cad6313d267c	Explain the role of online analytical processing (OLAP) and data mining for business intelligence.
f13b4ca3-c6e2-43a4-8c3a-0a6be7437e61	Trace flowcharts for a range of programming algorithms.
f505c537-7a73-4779-83af-f5323ca94143	Describe how an agent learns to make decisions by interacting with its environment in reinforcement learning.
f6a20898-0990-43c9-a929-a80a758648a1	List some ops that affect the program counter.
f907f22b-efab-44f1-91c9-10f0bcdc532b	Compare static and dynamic data structures.
